timestamp,net_flow,inflow,outflow
2025-11-09 09:00:00,9932.351090999999,60763.273831,50830.92274
2025-11-09 10:00:00,-4059.641489000001,16553.609446,20613.250935
2025-11-09 11:00:00,16310.535721999997,103714.85769,87404.321968
2025-11-09 12:00:00,66837.09214000001,337971.133011,271134.040871
2025-11-09 13:00:00,25165.188815999998,113156.668898,87991.480082
2025-11-09 14:00:00,76585.32373,106200.999232,29615.675502000002
2025-11-09 15:00:00,40784.835101000004,231532.707256,190747.872155
2025-11-09 16:00:00,-4029.550033,0.0,4029.550033
2025-11-09 17:00:00,-16856.905767,82681.32508000001,99538.230847
2025-11-09 18:00:00,262708.455811,671605.146767,408896.690956
2025-11-09 19:00:00,-135691.743311,63621.210774,199312.954085
2025-11-09 20:00:00,31978.236314,103041.99336600001,71063.757052
